Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2016-06-01T20:00:00Z,"GLD",2016-07-01T20:00:00Z,Buy,115.94,128.41,859,10711.73,0,-231.93,10711.73,3341.51,1,"	1,3" 
2016-07-01T20:00:00Z,"SHY",2016-08-01T20:00:00Z,Buy,69.361026375,69.279687865,1569,-127.62,0,-280.71,38.28,318.99,0,"	4,6" 
2016-08-01T20:00:00Z,"TECL",2016-09-01T20:00:00Z,Buy,4.0689390399,4.2161076321,27295,4016.97,0,-2529.2,5479.94,2801.96,1,"	7,9" 
2016-09-01T20:00:00Z,"TQQQ",2016-10-03T20:00:00Z,Buy,2.418698742569,2.5419319190006,47133,5808.35,0,-7097.02,7405.18,10785.6,1,"	10,12" 
2016-10-03T20:00:00Z,"TECL",2016-11-01T20:00:00Z,Buy,4.3678184648,4.1861288448,27310,-4961.94,0,-4961.94,2381.73,7343.68,0,"	13,15" 
2016-11-01T20:00:00Z,"TQQQ",2016-12-01T21:00:00Z,Buy,2.3802626714633,2.3220141925711,48639,-2833.15,0,-7506.88,7728.52,10561.67,0,"	16,18" 
2016-12-01T21:00:00Z,"TECL",2017-01-03T21:00:00Z,Buy,4.0135237058,4.6676063378,27771,18164.53,0,0,21292.86,6761.24,1,"	19,21" 
2017-01-03T21:00:00Z,"TQQQ",2017-02-01T21:00:00Z,Buy,2.5817548586514,2.9734375970795,50313,19706.73,0,0,21162.09,4246.45,1,"	22,24" 
2017-02-01T21:00:00Z,"TECL",2017-03-01T21:00:00Z,Buy,5.123647284,5.9694124651,29288,24770.77,0,-505.53,24770.77,2607.45,1,"	25,27" 
2017-03-01T21:00:00Z,"TQQQ",2017-04-03T20:00:00Z,Buy,3.4156492653019,3.4877662219475,50750,3659.94,0,-5711.11,4464.32,7822.61,1,"	28,30" 
2017-04-03T20:00:00Z,"TECL",2017-06-29T20:00:00Z,Buy,6.0638910675,6.4191169858025,29406,10445.77,0,-8788.85,42982.54,32536.77,1,"	31,34" 
2017-07-03T17:00:00Z,"TQQQ",2017-09-01T20:00:00Z,Buy,3.7643466380937,4.572294300733,48811,39436.73,0,0,39591.46,18006.67,1,"	35,38" 
2017-09-01T20:00:00Z,"TECL",2017-10-02T20:00:00Z,Buy,7.976174318,8.1660399709,28597,5429.59,0,-9534.25,5429.59,14548.18,1,"	39,41" 
2017-10-02T20:00:00Z,"TQQQ",2017-12-01T21:00:00Z,Buy,4.539802045541,5.3600333656309,51432,42186.14,0,0,53924.89,14775.34,1,"	42,45" 
2017-12-01T21:00:00Z,"TECL",2018-01-02T21:00:00Z,Buy,9.9665841051,10.5795454296,27632,16937.35,0,-13479.9,23571,17111.85,1,"	46,48" 
2018-01-02T21:00:00Z,"TQQQ",2018-02-01T21:00:00Z,Buy,5.7788664599956,6.8439784350689,51333,54675.39,0,0,73531.08,18855.69,1,"	49,51" 
2018-02-01T21:00:00Z,"TECL",2018-02-05T21:00:00Z,Buy,12.4601110088,10.994215596,28620,-41953.93,0,-71701.66,0,71701.66,0,"	52,53" 
2018-03-01T21:00:00Z,"TQQQ",2018-03-23T20:00:00Z,Buy,6.269816511006,5.6114857773503,46351,-30514.29,0,-32710.64,51885.21,84595.85,0,"	54,55" 
2018-04-02T20:00:00Z,"TQQQ",2018-05-01T20:00:00Z,Buy,5.1963833486275,5.8632670740919,48199,32143.13,0,0,53724.67,42494.63,1,"	56,58" 
